id_partie,status,joueur_depart,joueur_gagnant,rows,cols,confiance,signature
61781,nulle,R,,9,9,1,363656646454446644555335533345465688338888111111112888222227777777772199999992299
61780,terminee,R,Y,9,9,1,7554656555476698246244264656652254449229229999991111177777771111888888
61779,terminee,R,Y,9,9,1,76654544646642874333355562
61778,terminee,R,R,9,9,1,54436664553478333566584457115566837443338848887775111178771119999
61777,terminee,R,R,9,9,1,47644554546655744526766659945991922699695947771111111227772222188
61776,terminee,R,Y,9,9,1,53566455434334665654466122
61775,terminee,R,R,9,9,1,5364654556443213533455422266633
61774,terminee,R,Y,9,9,1,75576456465546677524226654467725292299116125177933999888
61773,terminee,R,Y,9,9,1,664566655445455656556613334424431333
61772,terminee,R,R,9,9,1,6437566545335443748
61771,terminee,R,Y,9,9,1,5566545554644698846848648566585844118811161111999929229992222223333777
61770,terminee,R,R,9,9,1,6555646644523342252486455184228861686644895958989911982922133
61769,terminee,R,R,9,9,1,33655556556545546366433378788388633186777786887221191221999
61768,terminee,R,R,9,9,1,63436446575567577466553364433354637754577743999699992229982221112228888
61767,terminee,R,Y,9,9,1,536547644634631664457772775522441533
61766,terminee,R,Y,9,9,1,455466465586644558646654554949888838216282822133
61765,terminee,R,R,9,9,1,633564245445366552446655633
61764,terminee,R,R,9,9,1,547655456766566556655619111777777744444411411918899899992292222288822888333
61763,terminee,R,R,9,9,1,454444465469577
61762,terminee,R,R,9,9,1,7676645455655766759797565665477999994444147411111111822222292932233
61761,terminee,R,R,9,9,1,66344646655364748966884845588989995554985946953338339773311111111212222
61760,terminee,R,R,9,9,1,66576455546766557447977556447766544199992219222222214799191113138818888
61759,terminee,R,R,9,9,1,463446644555756756747
61758,terminee,R,R,9,9,1,7346545444556
61757,terminee,R,R,9,9,1,6756545554467665447646655744717776511121141118978888999888899322333
61756,terminee,R,R,9,9,1,456664454654565586644524977
61755,terminee,R,R,9,9,1,654746446667455776455754556646154999232777133
61754,terminee,R,Y,9,9,1,6465566555262256655442244466522999992929994441777777777881183331
61753,terminee,R,Y,9,9,1,5575464465562356656877
61752,terminee,R,Y,9,9,1,746358645578488766
61751,terminee,R,R,9,9,1,66366465557779597556633335777736567393999939511111144414444491122228888
61750,terminee,R,R,9,9,1,4447556354357375375441475775343334537718111181922981188899899988992222222
61749,terminee,R,Y,9,9,1,43665766644553
61748,terminee,R,Y,9,9,1,375364465435465563654554666414453336399997777779779919988888388881111111222222
61747,terminee,R,Y,9,9,1,54545555566666677769884477775645449699997179112122222998888111222144818833
61746,terminee,R,Y,9,9,1,46644464662442535335228353555877333226653622564477882898889977
61745,terminee,R,Y,9,9,1,5576656556544462426133
61744,terminee,R,Y,9,9,1,64366656555664784558328772333778233547747644542522246223311181799991111188998899
61743,terminee,R,R,9,9,1,5764456454452875755277877547447145868
61742,terminee,R,R,9,9,1,7663455565437
61741,terminee,R,R,9,9,1,65445546445285976766778
61740,terminee,R,Y,9,9,1,73446554657667
61739,terminee,R,Y,9,9,1,57436656453443
61738,terminee,R,R,9,9,1,446444656676766798855
61737,terminee,R,R,9,9,1,646546654554623352442312353
61736,terminee,R,R,9,9,1,76666654665554457525566447744277711222222454999997721911199911133
61735,terminee,R,Y,9,9,1,535646454475366475537741519766
61734,terminee,R,R,9,9,1,4736524554333242253647522
61733,terminee,R,R,9,9,1,5656556654526315443243422466425264333633245111223999999999878888888817111
61732,terminee,R,Y,9,9,1,465364666643433636674433737893984779244255
61731,terminee,R,R,9,9,1,74456456566325328964453556434465633359436397888919919988889871111112222
61730,terminee,R,Y,9,9,1,56565564565944687248488779
61729,terminee,R,R,9,9,1,5756554645663232343
61728,terminee,R,Y,9,9,1,556466464464464664339331386393833848997789988111918111899155
61727,terminee,R,Y,9,9,1,555546566544234232622644633353233544669225699429999997777777771111111881138888
61726,terminee,R,R,9,9,1,766446644473555
61725,terminee,R,R,9,9,1,54355445566634634343335144663
61724,terminee,R,R,9,9,1,6546646555454554664262422644222156512818111111288888899999989997777
